Series ID,Region Name,Region Code,01-06-2023
ARPLURN,"Polk County, AR",5113,3.2
ARPPURN,"Pope County, AR",5115,3.9
ARPRURN,"Prairie County, AR",5117,2.8
ARPUURN,"Pulaski County, AR",5119,2.8
ARRAURN,"Randolph County, AR",5121,3.4
ARSTURN,"St. Francis County, AR",5123,4.3
ARSAURN,"Saline County, AR",5125,2.6
ARSCURN,"Scott County, AR",5127,2.9
ARSEURN,"Searcy County, AR",5129,4
ARSBURN,"Sebastian County, AR",5131,3.2
ARSVURN,"Sevier County, AR",5133,3.6
ARSHURN,"Sharp County, AR",5135,3.8
ARSOURN,"Stone County, AR",5137,3.8
ARUNURN,"Union County, AR",5139,4.2
ARVAURN,"Van Buren County, AR",5141,3.6
ARWAURN,"Washington County, AR",5143,2.2
ARWHURN,"White County, AR",5145,3.3
ARWOURN,"Woodruff County, AR",5147,3
ARYEURN,"Yell County, AR",5149,3.7
CAALAM1URN,"Alameda County, CA",6001,4.2
CAALPI3URN,"Alpine County, CA",6003,7.1
CAAMAD5URN,"Amador County, CA",6005,4.8
CABUTT5URN,"Butte County, CA",6007,5.4
CACALA9URN,"Calaveras County, CA",6009,4
CACOLU1URN,"Colusa County, CA",6011,12.2
CACONT3URN,"Contra Costa County, CA",6013,4.2
CADELN5URN,"Del Norte County, CA",6015,5.6
CAELDO5URN,"El Dorado County, CA",6017,3.9
CAFRES9URN,"Fresno County, CA",6019,7.5
CAGLEN1URN,"Glenn County, CA",6021,6.5
CAHUMB0URN,"Humboldt County, CA",6023,4.7
CAIMPE5URN,"Imperial County, CA",6025,16.9
CAINYO7URN,"Inyo County, CA",6027,3.8
CAKERN0URN,"Kern County, CA",6029,8.8
CAKING3URN,"Kings County, CA",6031,8.4
CALAKE3URN,"Lake County, CA",6033,5.5
CALASS5URN,"Lassen County, CA",6035,4.7
CALOSA7URN,"Los Angeles County, CA",6037,5.3
CAMADE0URN,"Madera County, CA",6039,7.7
CAMARI5URN,"Marin County, CA",6041,3.4
CAMARI3URN,"Mariposa County, CA",6043,4.4
CAMEND5URN,"Mendocino County, CA",6045,4.6
CAMERC0URN,"Merced County, CA",6047,9.5
CAMODO9URN,"Modoc County, CA",6049,5.3
CAMONO1URN,"Mono County, CA",6051,3.8
CAMONT2URN,"Monterey County, CA",6053,5.5
CANAPA0URN,"Napa County, CA",6055,3.5
CANEVA0URN,"Nevada County, CA",6057,4
CAORAN7URN,"Orange County, CA",6059,3.7
CAPLAC0URN,"Placer County, CA",6061,3.8
CAPLUM3URN,"Plumas County, CA",6063,6
CARIVE5URN,"Riverside County, CA",6065,5
CASACR5URN,"Sacramento County, CA",6067,4.5
CASANB9URN,"San Benito County, CA",6069,5.8
CASANB1URN,"San Bernardino County, CA",6071,4.9
CASAND5URN,"San Diego County, CA",6073,4
CASANF0URN,"San Francisco County/city, CA",6075,3.2
CASANJ8URN,"San Joaquin County, CA",6077,6.4
CASANL9URN,"San Luis Obispo County, CA",6079,3.5
CASANM0URN,"San Mateo County, CA",6081,3.1
CASANT1URN,"Santa Barbara County, CA",6083,3.8
CASANT5URN,"Santa Clara County, CA",6085,3.6
CASANT3URN,"Santa Cruz County, CA",6087,5.3
CASHAS5URN,"Shasta County, CA",6089,5
CASIER1URN,"Sierra County, CA",6091,3.9
CASISK3URN,"Siskiyou County, CA",6093,5.9
CASOLA5URN,"Solano County, CA",6095,4.7
CASONO6URN,"Sonoma County, CA",6097,3.7
CASTAN7URN,"Stanislaus County, CA",6099,6.8
CASUTT0URN,"Sutter County, CA",6101,7.6
CATEHA3URN,"Tehama County, CA",6103,6.2
CATRIN5URN,"Trinity County, CA",6105,5.3
CATULA1URN,"Tulare County, CA",6107,10.1
CATUOL9URN,"Tuolumne County, CA",6109,4.9
CAVENT2URN,"Ventura County, CA",6111,4.2
CAYOLO3URN,"Yolo County, CA",6113,4.8
CAYUBA5URN,"Yuba County, CA",6115,6.6
COADAM1URN,"Adams County, CO",8001,3.5
COALAM3URN,"Alamosa County, CO",8003,3.4
